first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
sytlub,sytlub,pr,lub,syd,,sydlub,control,p,0.0,2,d,t,sytlub,2,6,pseudo
bulamment,bulamment,rss,bul,,am_ment,bulamment,target,r,,0,b,s,sulamment,0,9,pseudo
prédébic,prédébic,ppr,dic,pré_dé,,prédédic,target,r,,0,d,b,prédébic,2,8,pseudo
cercin,certin,rs,cert,,in,certin,target,r,,3,t,c,cercin,3,6,pseudo
rustoid,rustoid,pr,toid,rus,,rustoid,control,r,,0,t,c,ruscoid,0,7,pseudo
vértnemt,vértnemt,rs,vért,,nemt,vértnemt,control,s,0.0,3,t,s,vértnems,0,8,pseudo
dicaliste,décaliste,rss,dic,,al_iste,dicaliste,target,r,,1,i,é,décaliste,1,9,pseudo
erédméleag,erédmuleag,pprs,mél,er_éd,eag,erédméleag,control,r,,1,é,u,erédmuleag,1,10,pseudo
linasvitié,minasvitié,prss,nas,mi,vi_tié,minasvitié,control,p,0.0,0,m,l,linasvitié,3,10,pseudo
jaip,jais,r,jais,,,jais,target,r,,3,s,p,jaip,3,4,pseudo
dasnalable,désnalable,prs,snal,dé,able,désnalable,target,p,0.0,1,é,a,dasnalable,3,10,pseudo
répédvért,répédvérc,ppr,vért,rép_éd,,répédvért,control,r,,3,t,c,répédvérc,1,9,pseudo
cortment,comtment,rs,cort,,ment,cortment,target,r,,2,r,m,comtment,1,8,pseudo
gurendir,surendir,ppr,dir,sur_en,,surendir,target,p,0.0,0,s,g,gurendir,3,8,pseudo
erlasoir,erlasoin,prs,las,er,oin,erlasoin,control,s,0.0,2,n,r,erlasoir,3,8,pseudo
erfil,enfil,pr,fil,en,,enfil,target,p,0.0,1,n,r,erfil,3,5,pseudo
mélcitié,mélcitié,rss,mél,,vi_tié,mélvitié,control,s,0.0,0,v,c,mélcitié,2,8,pseudo
sédnicidre,sédnicidro,pprs,cid,séd_ni,re,sédnicidre,control,s,0.0,1,e,o,sédnicidro,1,10,pseudo
andicalité,andicalité,prss,dic,in,al_ité,indicalité,target,p,0.0,0,i,a,andicalité,2,10,pseudo
sioc,tioc,r,tioc,,,tioc,control,r,,0,t,s,sioc,3,4,pseudo
nièralismo,nièralismo,rss,nièr,,al_isme,nièralisme,target,s,1.0,3,e,o,nièralismo,2,10,pseudo
diodeuse,diodeuse,rs,diot,,euse,dioteuse,target,r,,3,t,d,diodeuse,2,8,pseudo
