first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
scientist,sceentist,rs,,scient,ist,scientist,target,r,,2,i,e,sceentist,1,9,real
misreporg,misreporg,ppr,mis_re,port,,misreport,target,r,,3,t,g,misreporg,2,9,real
marachon,marathon,r,,marathon,,marathon,control,r,,4,t,c,marachon,3,8,real
hieroglyph,hieroglyph,r,,hieroglyph,,hieroglyph,control,r,,6,l,r,hierogryph,0,10,real
degrade,degrade,pr,de,grade,,degrade,target,p,0.0,0,d,h,hegrade,0,7,real
ashume,ashume,r,,assume,,assume,control,r,,2,s,h,ashume,2,6,real
resisagree,resisagree,ppr,re_dis,agree,,redisagree,target,p,1.0,0,d,s,resisagree,2,10,real
rolecule,rolecule,r,,molecule,,molecule,control,r,,0,m,r,rolecule,2,8,real
disappoint,disappoint,pr,dis,appoint,,disappoint,target,p,0.0,0,d,t,tisappoint,0,10,real
disruption,disruption,prs,dis,rupt,ion,disruption,target,s,0.0,2,n,r,disruptior,0,10,real
cartridge,cartridge,r,,cartridge,,cartridge,control,r,,5,i,o,cartrodge,0,9,real
repertoire,retertoire,r,,repertoire,,repertoire,control,r,,2,p,t,retertoire,1,10,real
analogee,analogue,r,,analogue,,analogue,control,r,,6,u,e,analogee,3,8,real
disorderly,disorterly,prs,dis,order,ly,disorderly,target,r,,2,d,t,disorterly,1,10,real
boulevard,boulevamd,r,,boulevard,,boulevard,control,r,,7,r,m,boulevamd,1,9,real
pedestrian,pedestrian,r,,pedestrian,,pedestrian,control,r,,1,e,o,podestrian,0,10,real
actieve,achieve,r,,achieve,,achieve,control,r,,2,h,t,actieve,3,7,real
woodemly,woodemly,rss,,wood,en_ly,woodenly,target,s,0.0,1,n,m,woodemly,2,8,real
ceroical,heroical,rss,,hero,ic_al,heroical,target,r,,0,h,c,ceroical,3,8,real
transmit,transmit,r,,transmit,,transmit,control,r,,0,t,c,cransmit,0,8,real
outperhorm,outperhorm,pr,out,perform,,outperform,target,r,,3,f,h,outperhorm,2,10,real
welcoje,welcoje,r,,welcome,,welcome,control,r,,5,m,j,welcoje,2,7,real
eutalyptus,eucalyptus,r,,eucalyptus,,eucalyptus,control,r,,2,c,t,eutalyptus,3,10,real
encut,encut,pr,un,cut,,uncut,target,p,0.0,0,u,e,encut,2,5,real
predispose,predispose,ppr,pre_dis,pose,,predispose,target,r,,2,s,g,predispoge,0,10,real
croise,cruise,r,,cruise,,cruise,control,r,,2,u,o,croise,3,6,real
export,epport,pr,ex,port,,export,target,p,0.0,1,x,p,epport,1,6,real
sourness,sournets,rs,,sour,ness,sourness,target,s,0.0,2,s,t,sournets,1,8,real
tartness,tartness,rs,,tart,ness,tartness,target,r,,3,t,d,tardness,0,8,real
osder,osder,rs,,odd,er,odder,target,r,,1,d,s,osder,2,5,real
guillotine,guillotinu,r,,guillotine,,guillotine,control,r,,9,e,u,guillotinu,1,10,real
humricane,humricane,r,,hurricane,,hurricane,control,r,,2,r,m,humricane,2,9,real
polindrome,polindrome,r,,palindrome,,palindrome,control,r,,1,a,o,polindrome,2,10,real
reimforce,reinforce,ppr,re_in,force,,reinforce,target,p,1.0,1,n,m,reimforce,3,9,real
pronounce,pronounce,r,,pronounce,,pronounce,control,r,,7,c,p,pronounpe,0,9,real
stramge,strange,r,,strange,,strange,control,r,,4,n,m,stramge,3,7,real
uneventful,uneventful,prs,un,event,ful,uneventful,target,r,,2,e,a,unevantful,0,10,real
episode,episode,r,,episode,,episode,control,r,,0,e,o,opisode,0,7,real
author,author,r,,author,,author,control,r,,3,h,s,autsor,0,6,real
heroih,heroic,rs,,hero,ic,heroic,target,s,0.0,1,c,h,heroih,3,6,real
advance,advamce,r,,advance,,advance,control,r,,4,n,m,advamce,1,7,real
overactive,overactive,prs,over,act,ive,overactive,target,p,0.0,2,e,i,oviractive,0,10,real
origin,oyigin,r,,origin,,origin,control,r,,1,r,y,oyigin,1,6,real
snorer,snorer,rs,,snor,er,snorer,target,r,,2,o,i,snirer,0,6,real
undertass,undertass,pr,under,pass,,underpass,target,r,,0,p,t,undertass,2,9,real
spoak,speak,r,,speak,,speak,control,r,,2,e,o,spoak,3,5,real
rediscover,rediscover,ppr,re_dis,cover,,rediscover,target,r,,4,r,y,rediscovey,0,10,real
emptasis,emphasis,r,,emphasis,,emphasis,control,r,,3,h,t,emptasis,3,8,real
custom,custom,r,,custom,,custom,control,r,,0,c,t,tustom,0,6,real
quarartine,quarartine,r,,quarantine,,quarantine,control,r,,5,n,r,quarartine,2,10,real
compare,comparo,r,,compare,,compare,control,r,,6,e,o,comparo,1,7,real
sensowy,sensowy,rss,,sens,or_y,sensory,target,s,0.0,1,r,w,sensowy,2,7,real
simple,simple,r,,simple,,simple,control,r,,1,i,o,somple,0,6,real
surfer,surfel,rs,,surf,er,surfer,target,s,0.0,1,r,l,surfel,1,6,real
reuvercome,reuvercome,ppr,re_over,come,,reovercome,target,p,1.0,0,o,u,reuvercome,2,10,real
pregramme,pregramme,r,,programme,,programme,control,r,,2,o,e,pregramme,2,9,real
system,smstem,r,,system,,system,control,r,,1,y,m,smstem,1,6,real
unmindgul,unmindgul,prs,un,mind,ful,unmindful,target,s,0.0,0,f,g,unmindgul,2,9,real
syjdrome,syjdrome,r,,syndrome,,syndrome,control,r,,2,n,j,syjdrome,2,8,real
weirdly,reirdly,rs,,weird,ly,weirdly,target,r,,0,w,r,reirdly,1,7,real
overuxpose,overexpose,ppr,over_ex,pose,,overexpose,target,p,1.0,0,e,u,overuxpose,3,10,real
remover,removir,prs,re,mov,er,remover,target,s,0.0,0,e,i,removir,1,7,real
intale,inhale,pr,in,hale,,inhale,target,r,,0,h,t,intale,3,6,real
threshold,threshold,r,,threshold,,threshold,control,r,,8,d,h,thresholh,0,9,real
shenanigon,shenanigan,r,,shenanigan,,shenanigan,control,r,,8,a,o,shenanigon,3,10,real
propaganda,propaganda,r,,propaganda,,propaganda,control,r,,7,n,r,propagarda,0,10,real
canpaloupe,canpaloupe,r,,cantaloupe,,cantaloupe,control,r,,3,t,p,canpaloupe,2,10,real
shyly,shyll,rs,,shy,ly,shyly,target,s,0.0,1,y,l,shyll,1,5,real
woodenness,woodennets,rss,,wood,en_ness,woodenness,target,s,1.0,2,s,t,woodennets,1,10,real
overstep,overstep,pr,over,step,,overstep,target,r,,3,p,v,overstev,0,8,real
attitude,atpitude,r,,attitude,,attitude,control,r,,2,t,p,atpitude,1,8,real
diseybody,disembody,ppr,dis_em,body,,disembody,target,p,1.0,1,m,y,diseybody,3,9,real
reoussell,reoutsell,ppr,re_out,sell,,reoutsell,target,p,1.0,2,t,s,reoussell,3,9,real
nituralist,nituralist,rss,,natur,al_ist,naturalist,target,r,,1,a,i,nituralist,2,10,real
uyread,uyread,pr,un,read,,unread,target,p,0.0,1,n,y,uyread,2,6,real
surplise,surplise,r,,surprise,,surprise,control,r,,4,r,l,surplise,2,8,real
lettoce,lettuce,r,,lettuce,,lettuce,control,r,,4,u,o,lettoce,3,7,real
tentdly,tenthly,rss,,ten,th_ly,tenthly,target,s,0.0,1,h,d,tentdly,3,7,real
district,districf,r,,district,,district,control,r,,7,t,f,districf,1,8,real
vulcarism,vulgarism,rs,,vulgar,ism,vulgarism,target,r,,3,g,c,vulcarism,3,9,real
caricature,caricatume,r,,caricature,,caricature,control,r,,8,r,m,caricatume,1,10,real
manfully,manfully,rss,,man,ful_ly,manfully,target,s,1.0,0,l,m,manfulmy,0,8,real
lawfully,lawfulmy,rss,,law,ful_ly,lawfully,target,s,1.0,0,l,m,lawfulmy,1,8,real
gracefum,graceful,rs,,grace,ful,graceful,target,s,0.0,2,l,m,gracefum,3,8,real
uydisguise,undisguise,ppr,un_dis,guise,,undisguise,target,p,0.0,1,n,y,uydisguise,3,10,real
wikefully,wikefully,rss,,wake,ful_ly,wakefully,target,r,,1,a,i,wikefully,2,9,real
reviewel,reviewer,prs,re,view,er,reviewer,target,s,0.0,1,r,l,reviewel,3,8,real
trampoline,trampoline,r,,trampoline,,trampoline,control,r,,2,a,e,trempoline,0,10,real
elect,elect,r,,elect,,elect,control,r,,2,e,u,eluct,0,5,real
undisclose,undisclose,ppr,un_dis,close,,undisclose,target,p,0.0,0,u,e,endisclose,0,10,real
unnatural,unnatural,prs,un,natur,al,unnatural,target,p,0.0,1,n,r,urnatural,0,9,real
modalwy,modalwy,rss,,mod,al_ly,modally,target,s,1.0,0,l,w,modalwy,2,7,real
reenact,reenact,ppr,re_en,act,,reenact,target,r,,2,t,c,reenacc,0,7,real
masquerada,masquerada,r,,masquerade,,masquerade,control,r,,9,e,a,masquerada,2,10,real
plemistake,plemistake,ppr,pre_mis,take,,premistake,target,p,0.0,1,r,l,plemistake,2,10,real
inkindly,unkindly,prs,un,kind,ly,unkindly,target,p,0.0,0,u,i,inkindly,3,8,real
willfulry,willfulry,rss,,will,ful_ly,willfully,target,s,1.0,0,l,r,willfulry,2,9,real
inserv,inserv,pr,in,sert,,insert,target,r,,3,t,v,inserv,2,6,real
vengefully,vengefully,rss,,venge,ful_ly,vengefully,target,r,,2,n,m,vemgefully,0,10,real
disconnect,disconnect,pr,dis,connect,,disconnect,target,r,,2,n,r,discornect,0,10,real
friendlr,friendly,rs,,friend,ly,friendly,target,s,0.0,1,y,r,friendlr,3,8,real
experience,experience,r,,experience,,experience,control,r,,8,c,h,experienhe,0,10,real
tampaign,tampaign,r,,campaign,,campaign,control,r,,0,c,t,tampaign,2,8,real
allusively,aylusively,rss,,allus,ive_ly,allusively,target,r,,1,l,y,aylusively,1,10,real
edhale,edhale,pr,ex,hale,,exhale,target,p,0.0,1,x,d,edhale,2,6,real
yachine,yachine,r,,machine,,machine,control,r,,0,m,y,yachine,2,7,real
