first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
rentitek,rentitet,pr,tek,renti,,rentitek,control,r,,2,k,t,rentitet,1,8,pseudo,block1
druniousry,druniousry,rss,drun,,ious_ly,druniously,target,s,1.0,0,l,r,druniousry,2,10,pseudo,block1
ahkrewally,ahkrewally,prss,krew,ab,al_ly,abkrewally,target,p,0.0,1,b,h,ahkrewally,2,10,pseudo,block1
werk,werk,r,werk,,,werk,control,r,,0,w,r,rerk,0,4,pseudo,block1
cur,cun,r,cun,,,cun,target,r,,2,n,r,cur,3,3,pseudo,block1
tekulsyl,tekulsyl,rss,tek,,ulf_yl,tekulfyl,control,s,0.0,2,f,s,tekulsyl,2,8,pseudo,block1
sedtalc,sidtalc,pr,talc,sid,,sidtalc,control,p,0.0,1,i,e,sedtalc,3,7,pseudo,block1
reglat,reclat,pr,clat,re,,reclat,target,r,,0,c,g,reglat,3,6,pseudo,block1
cunalistit,cunalistic,rsss,cun,,al_ist_ic,cunalistic,target,s,2.0,1,c,t,cunalistit,3,10,pseudo,block1
edsargeta,eddargeta,prs,sarg,ed,eta,edsargeta,control,r,,0,s,d,eddargeta,1,9,pseudo,block1
mojor,major,r,major,,,major,control,r,,1,a,o,mojor,3,5,real,block2
advanca,advanca,r,advance,,,advance,control,r,,6,e,a,advanca,2,7,real,block2
predispose,predispose,ppr,pose,pre_dis,,predispose,target,p,1.0,0,d,t,pretispose,0,10,real,block2
cause,cause,r,cause,,,cause,control,r,,4,e,o,causo,0,5,real,block2
sockness,sockness,rs,sick,,ness,sickness,target,r,,1,i,o,sockness,2,8,real,block2
mecycle,recycle,pr,cycle,re,,recycle,target,p,0.0,0,r,m,mecycle,3,7,real,block2
unkindly,unkindly,prs,kind,un,ly,unkindly,target,p,0.0,0,u,o,onkindly,0,8,real,block2
redeslate,redeflate,ppr,flate,re_de,,redeflate,target,r,,0,f,s,redeslate,3,9,real,block2
champagne,charpagne,r,champagne,,,champagne,control,r,,3,m,r,charpagne,1,9,real,block2
fifthly,fifbhly,rss,fif,,th_ly,fifthly,target,s,0.0,0,t,b,fifbhly,1,7,real,block2
outchine,outshine,pr,shine,out,,outshine,target,r,,0,s,c,outchine,3,8,real,block2
rerover,remover,prs,mov,re,er,remover,target,r,,0,m,r,rerover,3,7,real,block2
unminly,unmanly,prs,man,un,ly,unmanly,target,r,,1,a,i,unminly,3,7,real,block2
curmency,currency,r,currency,,,currency,control,r,,3,r,m,curmency,3,8,real,block2
reoutsell,reoutsell,ppr,sell,re_out,,reoutsell,target,p,1.0,2,t,s,reoussell,0,9,real,block2
enslave,enslave,pr,slave,en,,enslave,target,r,,4,e,o,enslavo,0,7,real,block2
vorse,verse,r,verse,,,verse,control,r,,1,e,o,vorse,3,5,real,block2
experienco,experience,r,experience,,,experience,control,r,,9,e,o,experienco,3,10,real,block2
naturayism,naturayism,rss,natur,,al_ism,naturalism,target,s,0.0,1,l,y,naturayism,2,10,real,block2
radisagree,radisagree,ppr,agree,re_dis,,redisagree,target,p,0.0,1,e,a,radisagree,2,10,real,block2
pwime,prime,r,prime,,,prime,control,r,,1,r,w,pwime,3,5,real,block2
reovercame,reovercame,ppr,come,re_over,,reovercome,target,r,,1,o,a,reovercame,2,10,real,block2
templace,templace,r,template,,,template,control,r,,6,t,c,templace,2,8,real,block2
divipe,divide,r,divide,,,divide,control,r,,4,d,p,divipe,3,6,real,block2
happer,happer,r,happen,,,happen,control,r,,5,n,r,happer,2,6,real,block2
prostitite,prostitute,r,prostitute,,,prostitute,control,r,,7,u,i,prostitite,3,10,real,block2
wakifully,wakefully,rss,wake,,ful_ly,wakefully,target,r,,3,e,i,wakifully,3,9,real,block2
yearly,yearll,rs,year,,ly,yearly,target,s,0.0,1,y,l,yearll,1,6,real,block2
neighbar,neighbor,r,neighbor,,,neighbor,control,r,,6,o,a,neighbar,3,8,real,block2
short,short,r,short,,,short,control,r,,1,h,s,ssort,0,5,real,block2
heard,heard,r,heard,,,heard,control,r,,4,d,t,heart,0,5,real,block2
adeptable,adeptable,rs,adapt,,able,adaptable,target,r,,2,a,e,adeptable,2,9,real,block2
abparatus,apparatus,r,apparatus,,,apparatus,control,r,,1,p,b,abparatus,3,9,real,block2
whiter,whitor,rs,whit,,er,whiter,target,s,0.0,0,e,o,whitor,1,6,real,block2
disinhenit,disinhenit,ppr,herit,dis_in,,disinherit,target,r,,2,r,n,disinhenit,2,10,real,block2
reovercuok,reovercook,ppr,cook,re_over,,reovercook,target,r,,1,o,u,reovercuok,3,10,real,block2
evant,evant,r,event,,,event,control,r,,2,e,a,evant,2,5,real,block2
standard,sgandard,r,standard,,,standard,control,r,,1,t,g,sgandard,1,8,real,block2
unfairly,unfairln,prs,fair,un,ly,unfairly,target,s,0.0,1,y,n,unfairln,1,8,real,block2
upholder,upholder,prs,hold,up,er,upholder,target,p,0.0,1,p,s,usholder,0,8,real,block2
premisuse,prerisuse,ppr,use,pre_mis,,premisuse,target,p,1.0,0,m,r,prerisuse,1,9,real,block2
tlaspheme,blaspheme,r,blaspheme,,,blaspheme,control,r,,0,b,t,tlaspheme,3,9,real,block2
sensery,sensery,rss,sens,,or_y,sensory,target,s,0.0,0,o,e,sensery,2,7,real,block2
marathon,marathon,r,marathon,,,marathon,control,r,,1,a,e,merathon,0,8,real,block2
accorf,accorf,r,accord,,,accord,control,r,,5,d,f,accorf,2,6,real,block2
chick,check,r,check,,,check,control,r,,2,e,i,chick,3,5,real,block2
fatally,fatalln,rss,fat,,al_ly,fatally,target,s,1.0,1,y,n,fatalln,1,7,real,block2
reinforce,reinforce,ppr,force,re_in,,reinforce,target,r,,0,f,t,reintorce,0,9,real,block2
roset,roset,pr,set,re,,reset,target,p,0.0,1,e,o,roset,2,5,real,block2
mortgage,mortdage,r,mortgage,,,mortgage,control,r,,4,g,d,mortdage,1,8,real,block2
sislike,dislike,pr,like,dis,,dislike,target,p,0.0,0,d,s,sislike,3,7,real,block2
shananigan,shananigan,r,shenanigan,,,shenanigan,control,r,,2,e,a,shananigan,2,10,real,block2
difficult,dafficult,r,difficult,,,difficult,control,r,,1,i,a,dafficult,1,9,real,block2
impossibly,irpossibly,prs,possib,im,ly,impossibly,target,p,0.0,1,m,r,irpossibly,1,10,real,block2
paratise,paratise,r,paradise,,,paradise,control,r,,4,d,t,paratise,2,8,real,block2
profass,profess,r,profess,,,profess,control,r,,4,e,a,profass,3,7,real,block2
weirsly,weirsly,rs,weird,,ly,weirdly,target,r,,4,d,s,weirsly,2,7,real,block2
hollowness,hollowness,rs,hollow,,ness,hollowness,target,r,,1,o,e,hellowness,0,10,real,block2
wushroom,wushroom,r,mushroom,,,mushroom,control,r,,0,m,w,wushroom,2,8,real,block2
solidify,somidify,rs,solid,,ify,solidify,target,r,,2,l,m,somidify,1,8,real,block2
chimpanzee,chimpanzee,r,chimpanzee,,,chimpanzee,control,r,,3,m,l,chilpanzee,0,10,real,block2
thread,thread,r,thread,,,thread,control,r,,1,h,c,tcread,0,6,real,block2
manfulny,manfully,rss,man,,ful_ly,manfully,target,s,1.0,0,l,n,manfulny,3,8,real,block2
rediscover,rodiscover,ppr,cover,re_dis,,rediscover,target,p,0.0,1,e,o,rodiscover,1,10,real,block2
dollege,dollege,r,college,,,college,control,r,,0,c,d,dollege,2,7,real,block2
sinfolly,sinfolly,rss,sin,,ful_ly,sinfully,target,s,0.0,1,u,o,sinfolly,2,8,real,block2
uneventful,unepentful,prs,event,un,ful,uneventful,target,r,,1,v,p,unepentful,1,10,real,block2
pitisully,pitifully,rss,piti,,ful_ly,pitifully,target,s,0.0,0,f,s,pitisully,3,9,real,block2
woodenly,woodenly,rss,wood,,en_ly,woodenly,target,r,,0,w,y,yoodenly,0,8,real,block2
criteria,criteria,r,criteria,,,criteria,control,r,,3,t,s,criseria,0,8,real,block2
caytaloupe,caytaloupe,r,cantaloupe,,,cantaloupe,control,r,,2,n,y,caytaloupe,2,10,real,block2
unreal,urreal,pr,real,un,,unreal,target,p,0.0,1,n,r,urreal,1,6,real,block2
overexpose,overexpose,ppr,pose,over_ex,,overexpose,target,p,1.0,0,e,u,overuxpose,0,10,real,block2
inpert,insert,pr,sert,in,,insert,target,r,,0,s,p,inpert,3,6,real,block2
champaign,champaign,r,champaign,,,champaign,control,r,,5,a,o,champoign,0,9,real,block2
hieroglyph,hieroglyph,r,hieroglyph,,,hieroglyph,control,r,,9,h,d,hieroglypd,0,10,real,block2
cubical,cubicaw,rss,cub,,ic_al,cubical,target,s,1.0,1,l,w,cubicaw,1,7,real,block2
opinion,opinion,r,opinion,,,opinion,control,r,,5,o,e,opinien,0,7,real,block2
overactive,overastive,prs,act,over,ive,overactive,target,r,,1,c,s,overastive,1,10,real,block2
artilrery,artilrery,r,artillery,,,artillery,control,r,,5,l,r,artilrery,2,9,real,block2
nonmacial,nonmacial,prs,raci,non,al,nonracial,target,r,,0,r,m,nonmacial,2,9,real,block2
while,while,r,while,,,while,control,r,,0,w,m,mhile,0,5,real,block2
weefully,woefully,rss,woe,,ful_ly,woefully,target,r,,1,o,e,weefully,3,8,real,block2
school,school,r,school,,,school,control,r,,3,o,a,schaol,0,6,real,block2
reusable,reusabme,prs,us,re,able,reusable,target,s,0.0,2,l,m,reusabme,1,8,real,block2
dishredit,discredit,pr,credit,dis,,discredit,target,r,,0,c,h,dishredit,3,9,real,block2
secrete,secyete,r,secrete,,,secrete,control,r,,3,r,y,secyete,1,7,real,block2
meread,reread,pr,read,re,,reread,target,p,0.0,0,r,m,meread,3,6,real,block2
reaton,reason,r,reason,,,reason,control,r,,3,s,t,reaton,3,6,real,block2
hohtile,hostile,r,hostile,,,hostile,control,r,,2,s,h,hohtile,3,7,real,block2
invalidate,invamidate,prs,valid,in,ate,invalidate,target,r,,2,l,m,invamidate,1,10,real,block2
devaluo,devaluo,pr,value,de,,devalue,target,r,,4,e,o,devaluo,2,7,real,block2
raviewer,raviewer,prs,view,re,er,reviewer,target,p,0.0,1,e,a,raviewer,2,8,real,block2
sprinter,sprinten,rs,sprint,,er,sprinter,target,s,0.0,1,r,n,sprinten,1,8,real,block2
debug,debug,pr,bug,de,,debug,target,p,0.0,1,e,i,dibug,0,5,real,block2
uniforlly,uniformly,prs,form,uni,ly,uniformly,target,r,,3,m,l,uniforlly,3,9,real,block2
tomorrow,tomorrow,r,tomorrow,,,tomorrow,control,r,,1,o,e,temorrow,0,8,real,block2
comfort,comfort,r,comfort,,,comfort,control,r,,3,f,d,comdort,0,7,real,block2
witlessly,ritlessly,rss,wit,,less_ly,witlessly,target,r,,0,w,r,ritlessly,1,9,real,block2
satellite,satelrite,r,satellite,,,satellite,control,r,,5,l,r,satelrite,1,9,real,block2
habitualry,habitually,rss,habit,,ual_ly,habitually,target,s,1.0,0,l,r,habitualry,3,10,real,block2
channel,channol,r,channel,,,channel,control,r,,5,e,o,channol,1,7,real,block2
sense,sense,r,sense,,,sense,control,r,,3,s,k,senke,0,5,real,block2
licenso,licenso,r,license,,,license,control,r,,6,e,o,licenso,2,7,real,block2
versatile,dersatile,r,versatile,,,versatile,control,r,,0,v,d,dersatile,1,9,real,block2
reloant,reliant,rs,reli,,ant,reliant,target,r,,3,i,o,reloant,3,7,real,block2
episode,apisode,r,episode,,,episode,control,r,,0,e,a,apisode,1,7,real,block2
