first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
emmerdear,emmerdear,prs,em,merd,eur,emmerdeur,target,s,0.0,1,u,a,emmerdear,2,9,real
rambarde,rambarde,r,,rambarde,,rambarde,control,r,,2,m,n,ranbarde,0,8,real
idéarisme,idéarisme,rss,,idé,al_isme,idéalisme,target,s,0.0,1,l,r,idéarisme,2,9,real
impurité,impureté,prs,im,pur,ité,impurité,target,s,0.0,0,i,e,impureté,1,8,real
siège,siage,r,,siège,,siège,control,r,,2,è,a,siage,1,5,real
douaille,douaille,r,,gouaille,,gouaille,control,r,,0,g,d,douaille,2,8,real
cougcous,cougcous,r,,couscous,,couscous,control,r,,3,s,g,cougcous,2,8,real
poliscon,polisson,r,,polisson,,polisson,control,r,,5,s,c,poliscon,3,8,real
pizzemia,pizzemia,r,,pizzeria,,pizzeria,control,r,,5,r,m,pizzemia,2,8,real
espérante,espéranto,r,,espéranto,,espéranto,control,r,,8,o,e,espérante,3,9,real
